"Id","Nombre por defecto","Descripción por defecto","Nombre Español (🇪🇸)","Descripción Español (🇪🇸)","Nombre English (🇬🇧)","Descripción English (🇬🇧)","Nombre Française (🇫🇷)","Descripción Française (🇫🇷)","Nombre Deutsch (🇩🇪)","Descripción Deutsch (🇩🇪)","Nombre Italiano (🇮🇹)","Descripción Italiano (🇮🇹)","Nombre Português (🇵🇹)","Descripción Português (🇵🇹)","Nombre Netherlands (🇳🇱)","Descripción Netherlands (🇳🇱)","Nombre Catalán (🇪)","Descripción Catalán (🇪)","Nombre Chino (🇨)","Descripción Chino (🇨)"
"4fabc77d-74d2-4c00-b004-550239ebbf90","Cafe","","Cafe","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"1b0c1b81-993c-45ec-af07-dffe22ef5d65","Extras","","","","","","","","","","","","","","","","","","",""
"fd7d1d16-46af-498a-a27c-e454b7bf69d9","Ingredientes","","","","","","","","","","","","","","","","","","",""
"8c8c2def-1eeb-433e-991a-1b303bcd4d82","Ingredientes","","Ingredientes","","Ingredients","","","","Zutaten","","","","","","","","Ingredients","","",""
"eff64d91-643a-41f5-8cf2-5af66673e79a","Ingredientes","","Ingredientes","","Ingredients","","","","Zutaten","","","","","","","","Ingredients","","",""
"aa608bff-b0c7-467b-b3b0-362d3c6a701f","Ingredientes","","Ingredientes","","Ingredients","","","","Zutaten","","","","","","","","Ingredients","","",""
"87842727-cac7-49f1-8d63-1ca5062ca6c6","Ingredientes","","Ingredientes","","Ingredients","","","","Zutaten","","","","","","","","Ingredients","","",""
"25193580-256d-4f20-affc-4372b0a26480","Ingredientes","","Ingredientes","","Ingredients","","","","Zutaten","","","","","","","","Ingredients","","",""
"e458320c-ef4b-4442-974b-7063eadbe9db","Ingredientes","","Ingredientes","","Ingredients","","","","Zutaten","","","","","","","","Ingredients","","",""
"22a9fe79-2e14-466c-90a4-b2280fc9af76","Leches","","Leches","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"683bbf19-ddb1-446d-848a-4eab530516fd","Medio Bocadillo","","","","","","","","","","","","","","","","","","",""
"4a6a885a-3c1a-490c-bc5f-60ca61a8f034","Medio Pa amb oli","","","","","","","","","","","","","","","","","","",""
"a3b0c416-0650-405c-a203-ed33ff36974d","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"aed3474e-29bc-4790-960b-9421d3a1d253","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"ce03225a-9ede-44a4-bdf8-4e886be9138a","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"d23c3a01-b91e-4723-8f53-541251daa5dc","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"925e055b-b013-4305-85b4-09828afe3311","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"d33492ed-7ee8-4c42-beaf-764777a76a34","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"549992f2-2f00-452e-8603-dfd896bb4da0","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"af768901-0311-49e5-83f4-88280d2a68e2","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"56e0ba17-6082-4f62-9578-2d0537145cf8","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"e8a9eef3-05b7-4a30-ae0c-8aa3eeb76f11","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"8d0de389-2034-4eea-b990-0d4d59873f2a","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"6e70f247-9fc2-4699-88e6-229d471a14c5","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"2299668b-49e8-4bd7-a4c5-c39a6d0a4d0c","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"cfd83ff4-fd7c-49af-b268-0b6ed2d14ad9","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"7f056664-1264-4f25-8d31-8b58b358a624","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"c1531213-e0a9-41dd-b3d4-f516d7d591a8","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"b5416aeb-343a-4f83-a8ca-388ae891f732","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"d500e09d-cdd9-4a0b-b9d2-84f3cf40e3e4","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"0877d78b-0f82-4704-b25f-f636f615e7bc","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"fa743b65-0ac0-45ab-89bd-d4f25bc124fe","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"3223dd71-65f5-4cfc-b659-5cf128f4e9cc","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"f0066f30-92de-42cd-92f9-4eaa271ac6fd","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"38430126-bcfb-4f6c-874a-db9090832887","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"1966b930-a18c-4eb3-a223-6e119605bba1","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"2fa34c57-66fb-4399-a567-a8fda9a67f06","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"e8cd0edd-96be-454d-a675-c9d818ee9317","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"1bbc643d-70ec-4c6d-a872-e4e9df5f0e7d","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"4d9d3ef2-6bb2-4dc2-96a1-7a3efcb59050","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"eaf6f550-f6be-474f-8fcf-fd7582770da2","Nuevo complemento","","Nuevo complemento","","New plugin","","","","Neues Plugin","","","","","","","","Nou complement","","",""
"b269dd6e-a926-4b36-814e-934ab3565fee","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"9694de02-6b05-46fe-b40e-4d47d37d4743","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"fede980c-0218-40c7-861a-c31c1ce636a2","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"8ff2a0ce-8d29-457c-934f-8fbe55d3068a","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"f883f102-b118-4ad1-983d-cc7f3adcecda","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"5f9b4669-5ce5-4d98-bc43-8d643967c0b8","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"9f713346-c475-401e-8380-423e8bd63c22","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"3bf9057b-47e8-4b55-af1e-4b7aa87a6ea3","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"4e9491fd-4da9-476a-84c8-702b1299e17a","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"c252686d-9240-404d-a9d4-7c5962d892c1","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
"449f8022-5a58-4074-9fc7-f9af7396ff8b","Nuevo complemento","","","","","","","","","","","","","","","","","","",""
